row_index,customer_id,name_true,email_true,phone_true_e164,signup_date_true,order_date_true,city_true,district_true,country_true,order_amount_true,customer_age_true
495,319,Tali Âdem Soylu,tali.dem.soylu319@example.com,+905389888167,2025-07-09,2026-04-04,Samsun,İlkadım,Türkiye,296.51,25
496,492,Temirhan Zorlu,temirhan.zorlu492@example.com,+905096056730,2024-10-05,2025-12-08,Diyarbakır,Kayapınar,Türkiye,408.53,73
497,153,Mücellib Bektaşi Sezgin Ertaş,mucellib.bektasi.sezgin.ertas153@example.com,+905396522395,2021-10-23,2026-04-21,Mersin,Yenişehir,Türkiye,365.5,62
498,221,Çev. İnsaf İnönü Fırat,cev.insaf.inonu.firat221@example.com,+905085627187,2024-03-06,2025-06-24,Antalya,Muratpaşa,Türkiye,365.23,62
499,22,Arş. Gör. Yurtgüven Yüksel,ars.gor.yurtguven.yuksel22@example.com,+905356159514,2023-02-08,2025-04-03,Manisa,Şehzadeler,Türkiye,210.36,37
500,351,Zinnure Neval Yorulmaz Gülen,zinnure.neval.yorulmaz.gulen351@example.com,+905456449485,2023-07-04,2025-10-29,Antalya,Kepez,Türkiye,417.29,75
501,138,Melihcan Çetin,melihcan.cetin138@example.com,+905414183285,2023-10-04,2025-09-01,Erzurum,Yakutiye,Türkiye,346.33,55
502,210,Çisem Yılmaz,cisem.yilmaz210@example.com,+905379772369,2025-02-23,2026-02-20,Kayseri,Melikgazi,Türkiye,407.85,68
503,456,Mükrüme Alemdar Yaman,mukrume.alemdar.yaman456@example.com,+905313402665,2025-10-09,2026-04-17,İzmir,Karşıyaka,Türkiye,175.08,28
504,267,Ertuncay Durmuş,ertuncay.durmus267@example.com,+905307681040,2022-02-04,2025-08-07,Malatya,Yeşilyurt,Türkiye,433.54,72
505,152,Bayan Çolpan Hurican Çamurcuoğlu Akdeniz,bayan.colpan.hurican.camurcuoglu.akdeniz152@example.com,+905040785932,2025-05-21,2025-12-05,Manisa,Şehzadeler,Türkiye,203.05,33
506,406,Hazrat Melihcan Demir Arslan,hazrat.melihcan.demir.arslan406@example.com,+905366684590,2022-10-07,2026-04-04,Samsun,Atakum,Türkiye,381.47,68
507,225,Saydam Feza Sezer,saydam.feza.sezer225@example.com,+905399824558,2023-03-20,2025-06-23,Samsun,Atakum,Türkiye,557.15,67
508,382,Mengi Sakarya,mengi.sakarya382@example.com,+905433971895,2023-09-12,2025-03-02,Ankara,Yenimahalle,Türkiye,268.77,55
509,344,Kerman Ertaş,kerman.ertas344@example.com,+905027206345,2022-09-20,2025-01-28,Ankara,Keçiören,Türkiye,129.81,23
510,83,Öğr. Baydu Serda Yüksel,ogr.baydu.serda.yuksel83@example.com,+905473647102,2023-06-26,2026-04-16,Erzurum,Yakutiye,Türkiye,303.18,44
511,34,Tekbay Aksu,tekbay.aksu34@example.com,+905494808313,2021-11-29,2025-01-16,Mersin,Toroslar,Türkiye,246.29,44
512,358,Eyyüp Akdeniz,eyyup.akdeniz358@example.com,+905592661085,2023-05-08,2026-05-24,İzmir,Bornova,Türkiye,295.83,61
513,363,Çev. Alkor Yaman,cev.alkor.yaman363@example.com,+905012277707,2022-09-01,2025-07-01,Şanlıurfa,Eyyübiye,Türkiye,187.34,33
514,387,Bişar Ülker,bisar.ulker387@example.com,+905743553795,2025-11-10,2026-01-08,Bursa,Nilüfer,Türkiye,342.71,62
515,232,Binışık Bilgütay Sezgin,binisik.bilgutay.sezgin232@example.com,+905484631224,2025-04-30,2025-11-16,Gaziantep,Şehitkamil,Türkiye,308.6,58
516,113,Prof. Ürfettin Akçay,prof.urfettin.akcay113@example.com,+905429396856,2021-09-17,2026-01-04,Trabzon,Ortahisar,Türkiye,367.56,65
517,231,Seydo Şener,seydo.sener231@example.com,+905368663266,2024-09-17,2025-07-09,İstanbul,Üsküdar,Türkiye,174.38,34
518,410,Çıvgın Yaman,civgin.yaman410@example.com,+905729949387,2024-05-27,2026-05-24,Kayseri,Kocasinan,Türkiye,147.18,30
519,396,Belgizar Manço Korutürk,belgizar.manco.koruturk396@example.com,+905109193928,2024-07-06,2026-01-30,Bursa,Nilüfer,Türkiye,230.39,40
520,264,Vacibe Alemdar Yılmaz,vacibe.alemdar.yilmaz264@example.com,+905344144885,2021-08-25,2025-09-21,Konya,Selçuklu,Türkiye,114.85,18
521,472,Uz. Gülnaziye Şehza Yaman,uz.gulnaziye.sehza.yaman472@example.com,+905240422693,2025-07-23,2026-02-28,Konya,Meram,Türkiye,125.92,27
522,174,Tayyip Duran,tayyip.duran174@example.com,+905099917381,2022-02-17,2025-02-10,Bursa,Osmangazi,Türkiye,283.31,42
523,30,Erdibay Korutürk,erdibay.koruturk30@example.com,+905100330923,2025-03-29,2026-01-13,Samsun,İlkadım,Türkiye,279.29,48
524,165,Zeyno Ertaş,zeyno.ertas165@example.com,+905082148628,2022-10-05,2026-06-08,Kayseri,Kocasinan,Türkiye,92.21,19
525,418,Yrd. Doç. Rana Rümeysa Arslan,yrd.doc.rana.rumeysa.arslan418@example.com,+905013649718,2022-10-04,2026-06-24,Mersin,Toroslar,Türkiye,126.53,28
526,142,Büşranur Alemdar,busranur.alemdar142@example.com,+905756220863,2024-02-22,2025-10-22,Gaziantep,Şahinbey,Türkiye,185.68,33
527,449,Bağdat Şama,bagdat.sama449@example.com,+905435989262,2024-03-05,2025-04-25,İzmir,Karşıyaka,Türkiye,381.81,68
528,79,Çakırca Gücal Yorulmaz,cakirca.gucal.yorulmaz79@example.com,+905473947312,2025-07-14,2025-10-30,Bursa,Osmangazi,Türkiye,221.35,46
529,143,Dr. Gönen Ebuakil Sezgin,dr.gonen.ebuakil.sezgin143@example.com,+905061744518,2023-05-22,2026-03-27,Eskişehir,Tepebaşı,Türkiye,132.44,18
530,499,Bayan Nürice Arsoy Eraslan,bayan.nurice.arsoy.eraslan499@example.com,+905053844446,2022-03-05,2026-02-10,Denizli,Pamukkale,Türkiye,182.74,33
531,177,Uz. Sevsevil Gülbeyan Yorulmaz,uz.sevsevil.gulbeyan.yorulmaz177@example.com,+905044789856,2022-02-05,2026-06-02,Adana,Seyhan,Türkiye,114.62,26
532,313,Sevgen Akdeniz,sevgen.akdeniz313@example.com,+905462879232,2023-10-23,2025-01-12,Konya,Meram,Türkiye,213.54,36
533,383,Elvan Çisem Yorulmaz Zengin,elvan.cisem.yorulmaz.zengin383@example.com,+905626085641,2025-04-22,2026-06-20,İstanbul,Üsküdar,Türkiye,148.2,24
534,6,Yağızkurt Şensoy,yagizkurt.sensoy6@example.com,+905480184514,2023-07-06,2025-10-14,Bursa,Nilüfer,Türkiye,184.42,28
535,33,Dr. Aysuna Bilge Demir,dr.aysuna.bilge.demir33@example.com,+905379965075,2024-12-05,2025-03-03,Mersin,Toroslar,Türkiye,259.36,49
536,221,Çev. İnsaf İnönü Fırat,cev.insaf.inonu.firat221@example.com,+905085627187,2024-03-06,2026-05-01,Antalya,Muratpaşa,Türkiye,305.92,62
537,33,Dr. Aysuna Bilge Demir,dr.aysuna.bilge.demir33@example.com,+905379965075,2024-12-05,2025-10-10,Mersin,Toroslar,Türkiye,271.24,49
538,119,Korugan Şama,korugan.sama119@example.com,+905472126464,2023-03-27,2025-02-24,Mersin,Toroslar,Türkiye,362.03,68
539,379,Salimet Hayrioğlu,salimet.hayrioglu379@example.com,+905018510679,2024-03-18,2026-04-05,Malatya,Yeşilyurt,Türkiye,343.89,54
540,423,Nalân Güverçin Şama,naln.guvercin.sama423@example.com,+905066149828,2021-11-15,2025-09-22,Diyarbakır,Kayapınar,Türkiye,157.07,29
541,96,Bahaddin Zoral Durmuş Manço,bahaddin.zoral.durmus.manco96@example.com,+905459332727,2021-10-03,2026-03-09,Kayseri,Melikgazi,Türkiye,332.76,56
542,411,Maksüde Hayrioğlu,maksude.hayrioglu411@example.com,+905169385977,2023-05-10,2025-03-21,Antalya,Kepez,Türkiye,292.47,54
543,48,Hayrünnisa Ağbegim Yüksel,hayrunnisa.agbegim.yuksel48@example.com,+905724005045,2023-11-06,2025-10-02,Şanlıurfa,Eyyübiye,Türkiye,233.39,45
544,415,Benek Permun Bilge Korutürk,benek.permun.bilge.koruturk415@example.com,+905090063353,2024-10-29,2026-04-18,Ankara,Yenimahalle,Türkiye,113.01,23
545,365,Prof. Nevsale Uğur Zengin Sakarya,prof.nevsale.ugur.zengin.sakarya365@example.com,+905069581467,2025-04-17,2025-12-07,Ankara,Keçiören,Türkiye,300.8,49
546,365,Prof. Nevsale Uğur Zengin Sakarya,prof.nevsale.ugur.zengin.sakarya365@example.com,+905069581467,2025-04-17,2026-02-12,Ankara,Keçiören,Türkiye,314.07,49
547,102,Av. Kısmet Aynımah Yılmaz,av.kismet.aynimah.yilmaz102@example.com,+905342708668,2022-12-23,2025-07-06,Trabzon,Ortahisar,Türkiye,201.35,26
548,432,Fatinur Dumanlı,fatinur.dumanli432@example.com,+905100409013,2023-01-08,2025-07-11,Şanlıurfa,Eyyübiye,Türkiye,335.35,68
549,439,Seyhan Zengin Durmuş,seyhan.zengin.durmus439@example.com,+905411159319,2023-11-20,2025-03-12,Mersin,Yenişehir,Türkiye,326.13,26
550,142,Büşranur Alemdar,busranur.alemdar142@example.com,+905756220863,2024-02-22,2025-05-24,Gaziantep,Şahinbey,Türkiye,212.77,33
551,143,Dr. Gönen Ebuakil Sezgin,dr.gonen.ebuakil.sezgin143@example.com,+905061744518,2023-05-22,2025-10-27,Eskişehir,Tepebaşı,Türkiye,181.72,18
552,188,Nafii Sezer,nafii.sezer188@example.com,+905102726149,2024-11-06,2026-06-06,Diyarbakır,Kayapınar,Türkiye,109.97,30
553,195,Özpınar Selâtin Çetin Türk,ozpinar.seltin.cetin.turk195@example.com,+905573993056,2025-04-24,2025-06-17,İstanbul,Kadıköy,Türkiye,201.64,42
554,354,Heva Yaman,heva.yaman354@example.com,+905520177749,2022-04-05,2026-02-15,Van,İpekyolu,Türkiye,99.1,18
555,61,Yigit İhsanoğlu,yigit.ihsanoglu61@example.com,+905445502296,2025-07-23,2025-12-12,Şanlıurfa,Eyyübiye,Türkiye,346.6,27
556,71,Aygutalp İhsanoğlu,aygutalp.ihsanoglu71@example.com,+905407581814,2025-06-24,2025-08-30,Manisa,Şehzadeler,Türkiye,317.54,66
557,51,Başok Ülker,basok.ulker51@example.com,+905090974395,2024-09-20,2025-05-08,Trabzon,Ortahisar,Türkiye,289.92,58
558,192,Permun Akça Demirel,permun.akca.demirel192@example.com,+905359893347,2024-12-14,2025-02-19,Konya,Meram,Türkiye,327.24,61
559,250,Rahiye Kumral Zorlu,rahiye.kumral.zorlu250@example.com,+905325621689,2022-06-10,2026-06-18,İstanbul,Üsküdar,Türkiye,320.42,61
560,472,Uz. Gülnaziye Şehza Yaman,uz.gulnaziye.sehza.yaman472@example.com,+905240422693,2025-07-23,2026-04-27,Konya,Meram,Türkiye,182.23,27
561,172,Bayan Oluş Şama Ülker,bayan.olus.sama.ulker172@example.com,+905584282417,2025-03-25,2025-08-23,Gaziantep,Şehitkamil,Türkiye,341.42,65
562,350,Av. Işıman Ayvas Tarhan,av.isiman.ayvas.tarhan350@example.com,+905572158624,2025-04-17,2026-02-08,Trabzon,Ortahisar,Türkiye,179.8,38
563,64,Okt. Safinaz Revza Ertaş,okt.safinaz.revza.ertas64@example.com,+905966416052,2022-06-26,2026-03-10,Samsun,İlkadım,Türkiye,422.87,47
564,246,Dr. Bilgütay Erten Alemdar,dr.bilgutay.erten.alemdar246@example.com,+905521103924,2025-11-14,2026-02-21,Gaziantep,Şahinbey,Türkiye,236.62,39
565,143,Dr. Gönen Ebuakil Sezgin,dr.gonen.ebuakil.sezgin143@example.com,+905061744518,2023-05-22,2025-04-22,Eskişehir,Tepebaşı,Türkiye,130.96,18
566,470,Kamar Tarhan,kamar.tarhan470@example.com,+905534240891,2021-11-24,2025-01-18,Eskişehir,Odunpazarı,Türkiye,367.39,65
567,48,Hayrünnisa Ağbegim Yüksel,hayrunnisa.agbegim.yuksel48@example.com,+905724005045,2023-11-06,2025-07-09,Şanlıurfa,Eyyübiye,Türkiye,241.59,45
568,298,Av. Zevlüde Türk Mansız,av.zevlude.turk.mansiz298@example.com,+905625349292,2022-09-16,2025-06-08,Konya,Meram,Türkiye,460.93,53
569,317,İnançlı Ülker,inancli.ulker317@example.com,+905725204565,2025-09-04,2026-04-29,Antalya,Kepez,Türkiye,192.14,36
570,44,Karaer İnönü,karaer.inonu44@example.com,+905127484677,2024-07-31,2026-01-09,Bursa,Osmangazi,Türkiye,301.03,47
571,318,Kâzime Yılmaz Durdu,kzime.yilmaz.durdu318@example.com,+905321928554,2024-06-05,2025-06-20,İzmir,Karşıyaka,Türkiye,354.86,61
572,178,Nurmelek Hayrioğlu,nurmelek.hayrioglu178@example.com,+905326033230,2022-08-23,2026-01-24,Şanlıurfa,Eyyübiye,Türkiye,266.48,50
573,482,Bay Gümüştekin Ayvas Karadeniz,bay.gumustekin.ayvas.karadeniz482@example.com,+905241862369,2025-08-20,2026-01-25,Şanlıurfa,Eyyübiye,Türkiye,213.55,32
574,429,Cantez Akça,cantez.akca429@example.com,+905436402701,2025-07-22,2025-11-11,Samsun,İlkadım,Türkiye,400.06,67
575,139,Seçgül Dumanlı,secgul.dumanli139@example.com,+905758842524,2021-11-02,2025-01-26,İzmir,Bornova,Türkiye,370.07,74
576,97,Lezize Tevetoğlu,lezize.tevetoglu97@example.com,+905391065180,2025-07-24,2025-10-03,Erzurum,Yakutiye,Türkiye,238.95,48
577,323,Gökçil Özertem Dumanlı,gokcil.ozertem.dumanli323@example.com,+905428013875,2022-01-13,2025-12-25,Konya,Selçuklu,Türkiye,291.85,55
578,332,Berran İnönü,berran.inonu332@example.com,+905349114152,2025-11-02,2026-06-26,Gaziantep,Şahinbey,Türkiye,290.91,52
579,369,Okanay Yavuz Çamurcuoğlu Dumanlı,okanay.yavuz.camurcuoglu.dumanli369@example.com,+905521376037,2024-01-13,2025-04-10,Antalya,Kepez,Türkiye,245.9,36
580,280,Fazul Gül,fazul.gul280@example.com,+905471281442,2022-06-30,2026-03-12,Manisa,Şehzadeler,Türkiye,191.43,35
581,188,Nafii Sezer,nafii.sezer188@example.com,+905102726149,2024-11-06,2026-01-07,Diyarbakır,Kayapınar,Türkiye,152.66,30
582,361,Behrem Yılmaz,behrem.yilmaz361@example.com,+905499564122,2025-11-14,2026-01-12,Trabzon,Ortahisar,Türkiye,163.23,30
583,146,Möhsim Seven,mohsim.seven146@example.com,+905557431329,2025-05-03,2025-08-01,İzmir,Karşıyaka,Türkiye,141.53,27
584,159,Çev. Meşhur Asalet Demirel,cev.meshur.asalet.demirel159@example.com,+905417146774,2025-06-09,2026-02-14,Bursa,Nilüfer,Türkiye,359.38,59
585,137,Göken Arslan,goken.arslan137@example.com,+905430068486,2023-07-29,2025-10-15,İzmir,Konak,Türkiye,377.57,62
586,107,Sancak Türk,sancak.turk107@example.com,+905048996423,2024-02-06,2025-06-16,Gaziantep,Şahinbey,Türkiye,174.57,32
587,82,Dr. Sökmen Erdoğan,dr.sokmen.erdogan82@example.com,+905010943969,2022-05-14,2026-04-12,İzmir,Bornova,Türkiye,140.0,19
588,83,Öğr. Baydu Serda Yüksel,ogr.baydu.serda.yuksel83@example.com,+905473647102,2023-06-26,2025-02-24,Erzurum,Yakutiye,Türkiye,270.19,44
589,187,Dr. Dilşat Durdu Akça,dr.dilsat.durdu.akca187@example.com,+905503758997,2021-12-06,2025-06-23,Gaziantep,Şahinbey,Türkiye,353.7,60
590,57,Yrd. Doç. Duruk Abdülahat Erdoğan,yrd.doc.duruk.abdulahat.erdogan57@example.com,+905529042284,2024-12-20,2026-04-03,Mersin,Yenişehir,Türkiye,150.99,25
591,464,Sücaettin Kısakürek,sucaettin.kisakurek464@example.com,+905108255598,2022-07-23,2025-04-19,Kayseri,Melikgazi,Türkiye,193.55,41
592,490,Alcan Enes Seven Şener,alcan.enes.seven.sener490@example.com,+905168740903,2022-01-09,2025-12-20,Eskişehir,Tepebaşı,Türkiye,442.12,70
593,446,Öğr. Yazgül Yasemen Mansız Aksu,ogr.yazgul.yasemen.mansiz.aksu446@example.com,+905419267649,2025-03-31,2026-02-04,Gaziantep,Şahinbey,Türkiye,125.64,24
594,301,Çetinsu Temizkal Demirel Bilge,cetinsu.temizkal.demirel.bilge301@example.com,+905427990772,2022-01-02,2025-05-19,İstanbul,Şişli,Türkiye,233.59,43
595,5,Arş. Gör. Sıylıhan Akbaş Durmuş,ars.gor.siylihan.akbas.durmus5@example.com,+905969653287,2025-06-09,2025-12-16,Konya,Meram,Türkiye,360.53,66
596,17,Prof. Ferzi Asım Akdeniz,prof.ferzi.asim.akdeniz17@example.com,+905411824493,2021-12-04,2025-09-07,Bursa,Nilüfer,Türkiye,196.78,39
597,442,Arş. Gör. Fatinur Yorulmaz Dumanlı,ars.gor.fatinur.yorulmaz.dumanli442@example.com,+905302764208,2023-10-01,2025-08-02,Manisa,Şehzadeler,Türkiye,251.77,39
598,378,Ruhugül Gül Sakarya,ruhugul.gul.sakarya378@example.com,+905028519611,2023-11-17,2025-11-08,Diyarbakır,Kayapınar,Türkiye,278.1,54
599,21,Tanbay Şener,tanbay.sener21@example.com,+905429401965,2021-11-11,2025-01-06,İstanbul,Kadıköy,Türkiye,359.54,68
600,240,Uz. Savni Arıel Aksu,uz.savni.ariel.aksu240@example.com,+905433504888,2022-10-01,2025-02-25,Kayseri,Melikgazi,Türkiye,270.53,54
601,489,Dr. Mahter Havse Hançer,dr.mahter.havse.hancer489@example.com,+905054669275,2023-01-28,2025-11-09,Van,İpekyolu,Türkiye,452.6,72
602,134,Dalkılıç Seven,dalkilic.seven134@example.com,+905415415206,2022-06-10,2026-05-18,Eskişehir,Odunpazarı,Türkiye,417.35,37
603,158,Yahşi Soylu,yahsi.soylu158@example.com,+905015336884,2022-03-31,2025-06-08,İzmir,Bornova,Türkiye,214.82,36
604,396,Belgizar Manço Korutürk,belgizar.manco.koruturk396@example.com,+905109193928,2024-07-06,2025-12-24,Bursa,Nilüfer,Türkiye,290.03,40
605,204,Av. Atnan Eşref Akgündüz,av.atnan.esref.akgunduz204@example.com,+905488725639,2021-11-02,2025-02-15,Ankara,Yenimahalle,Türkiye,397.31,72
606,281,İmrihan İde Ülker,imrihan.ide.ulker281@example.com,+905372805129,2025-01-31,2025-06-24,Mersin,Yenişehir,Türkiye,401.49,71
607,116,Kaygusuz Akver Akdeniz Güçlü,kaygusuz.akver.akdeniz.guclu116@example.com,+905431142626,2024-03-04,2025-07-10,İzmir,Karşıyaka,Türkiye,1970.23,41
608,290,Onuker Zengin,onuker.zengin290@example.com,+905320309376,2025-08-05,2026-01-28,Şanlıurfa,Eyyübiye,Türkiye,404.63,68
609,471,Öğr. Lezize Nursim Zorlu Fırat,ogr.lezize.nursim.zorlu.firat471@example.com,+905365271727,2024-11-29,2025-02-18,Mersin,Yenişehir,Türkiye,547.63,70
610,158,Yahşi Soylu,yahsi.soylu158@example.com,+905015336884,2022-03-31,2025-07-11,İzmir,Bornova,Türkiye,220.53,36
611,262,Muvaffak Avşin Hayrioğlu,muvaffak.avsin.hayrioglu262@example.com,+905455616814,2023-04-23,2026-01-21,Ankara,Çankaya,Türkiye,142.27,26
612,247,Arpağ Yorulmaz,arpag.yorulmaz247@example.com,+905070164510,2024-04-22,2026-06-26,Bursa,Osmangazi,Türkiye,583.99,73
613,385,Safinaz Ayçan Arslan Tevetoğlu,safinaz.aycan.arslan.tevetoglu385@example.com,+905033993788,2023-10-16,2025-01-19,Ankara,Keçiören,Türkiye,107.25,25
614,301,Çetinsu Temizkal Demirel Bilge,cetinsu.temizkal.demirel.bilge301@example.com,+905427990772,2022-01-02,2025-02-09,İstanbul,Şişli,Türkiye,209.72,43
615,73,Koçak Akçay,kocak.akcay73@example.com,+905460953962,2022-03-23,2025-05-06,Gaziantep,Şahinbey,Türkiye,336.4,60
616,224,Eskinalp Türk,eskinalp.turk224@example.com,+905061203471,2023-06-05,2025-03-05,Erzurum,Yakutiye,Türkiye,326.6,65
617,417,Gözel Durdu,gozel.durdu417@example.com,+905552065063,2023-05-18,2025-08-22,Eskişehir,Odunpazarı,Türkiye,168.59,32
618,165,Zeyno Ertaş,zeyno.ertas165@example.com,+905082148628,2022-10-05,2025-03-10,Kayseri,Kocasinan,Türkiye,99.97,19
619,424,Dr. Oymak Şener,dr.oymak.sener424@example.com,+905746897152,2021-12-09,2025-05-21,Diyarbakır,Kayapınar,Türkiye,242.02,48
620,55,Dr. Hoşkadem Hadrey Erdoğan Şama,dr.hoskadem.hadrey.erdogan.sama55@example.com,+905120047113,2022-12-08,2026-03-26,Kayseri,Kocasinan,Türkiye,148.3,26
621,50,Av. Behiza İnönü Duran,av.behiza.inonu.duran50@example.com,+905367136959,2024-04-16,2025-11-06,Diyarbakır,Kayapınar,Türkiye,313.43,62
622,440,Muktedir Ünübol Durdu,muktedir.unubol.durdu440@example.com,+905409836655,2022-02-20,2025-06-20,Trabzon,Ortahisar,Türkiye,365.29,68
623,33,Dr. Aysuna Bilge Demir,dr.aysuna.bilge.demir33@example.com,+905379965075,2024-12-05,2026-05-11,Mersin,Toroslar,Türkiye,240.17,49
624,391,Tanbay İhsanoğlu,tanbay.ihsanoglu391@example.com,+905060566418,2023-05-02,2026-01-25,Bursa,Osmangazi,Türkiye,275.76,49
625,246,Dr. Bilgütay Erten Alemdar,dr.bilgutay.erten.alemdar246@example.com,+905521103924,2025-11-14,2026-02-05,Gaziantep,Şahinbey,Türkiye,228.75,39
626,51,Başok Ülker,basok.ulker51@example.com,+905090974395,2024-09-20,2026-04-06,Trabzon,Ortahisar,Türkiye,295.62,58
627,396,Belgizar Manço Korutürk,belgizar.manco.koruturk396@example.com,+905109193928,2024-07-06,2025-11-20,Bursa,Nilüfer,Türkiye,237.21,40
628,460,Öğr. Hafıza Yaman Manço,ogr.hafiza.yaman.manco460@example.com,+905392312604,2024-11-14,2025-08-24,Bursa,Nilüfer,Türkiye,151.4,27
629,179,Muvaffak Hayrioğlu,muvaffak.hayrioglu179@example.com,+905648909010,2025-09-05,2025-09-30,Samsun,İlkadım,Türkiye,302.61,62
630,200,Sevim Fayize Şafak Akçay,sevim.fayize.safak.akcay200@example.com,+905129087814,2022-03-08,2026-03-09,Samsun,İlkadım,Türkiye,106.13,22
631,477,Serda Akçay,serda.akcay477@example.com,+905526771196,2021-11-15,2026-03-17,Antalya,Muratpaşa,Türkiye,188.35,35
632,384,Dürrüşehvar Seven,durrusehvar.seven384@example.com,+905241246209,2024-02-15,2025-08-02,Kayseri,Melikgazi,Türkiye,161.15,29
633,294,Arıel Güçlü,ariel.guclu294@example.com,+905456083318,2025-05-31,2026-01-16,Şanlıurfa,Eyyübiye,Türkiye,363.43,57
634,349,Günsel Selvi Dumanlı Akça,gunsel.selvi.dumanli.akca349@example.com,+905537599004,2023-02-13,2025-02-20,Trabzon,Ortahisar,Türkiye,326.83,57
635,118,Haliye Habibe Yıldırım,haliye.habibe.yildirim118@example.com,+905466183982,2022-02-08,2025-02-22,Bursa,Nilüfer,Türkiye,218.26,42
636,158,Yahşi Soylu,yahsi.soylu158@example.com,+905015336884,2022-03-31,2026-01-12,İzmir,Bornova,Türkiye,155.47,36
637,138,Melihcan Çetin,melihcan.cetin138@example.com,+905414183285,2023-10-04,2025-03-01,Erzurum,Yakutiye,Türkiye,306.0,55
638,235,Serfinaz Çamurcuoğlu Dumanlı,serfinaz.camurcuoglu.dumanli235@example.com,+905306524077,2022-10-25,2025-11-01,Samsun,Atakum,Türkiye,194.24,36
639,396,Belgizar Manço Korutürk,belgizar.manco.koruturk396@example.com,+905109193928,2024-07-06,2025-08-19,Bursa,Nilüfer,Türkiye,219.72,40
640,112,Yrd. Doç. Fehmiye Havali Bilge,yrd.doc.fehmiye.havali.bilge112@example.com,+905014890250,2024-10-14,2026-02-21,Denizli,Pamukkale,Türkiye,321.26,55
641,317,İnançlı Ülker,inancli.ulker317@example.com,+905725204565,2025-09-04,2025-12-23,Antalya,Kepez,Türkiye,200.76,36
642,442,Arş. Gör. Fatinur Yorulmaz Dumanlı,ars.gor.fatinur.yorulmaz.dumanli442@example.com,+905302764208,2023-10-01,2026-04-19,Manisa,Şehzadeler,Türkiye,261.13,39
643,363,Çev. Alkor Yaman,cev.alkor.yaman363@example.com,+905012277707,2022-09-01,2026-01-22,Şanlıurfa,Eyyübiye,Türkiye,170.81,33
644,243,Servinaz Belkize Tarhan,servinaz.belkize.tarhan243@example.com,+905583206799,2023-02-13,2025-09-16,Manisa,Şehzadeler,Türkiye,116.27,23
645,330,Prof. Mehdiye Korutürk Bilge,prof.mehdiye.koruturk.bilge330@example.com,+905647969545,2025-08-09,2026-04-16,Kayseri,Melikgazi,Türkiye,177.03,19
646,192,Permun Akça Demirel,permun.akca.demirel192@example.com,+905359893347,2024-12-14,2025-11-19,Konya,Meram,Türkiye,324.36,61
647,68,Uz. Sadiye Gülbiye Aslan Ertaş,uz.sadiye.gulbiye.aslan.ertas68@example.com,+905515186449,2025-02-08,2026-06-07,Eskişehir,Odunpazarı,Türkiye,191.21,39
648,324,Sezal Kader Gül,sezal.kader.gul324@example.com,+905566383615,2025-04-03,2025-11-06,Bursa,Nilüfer,Türkiye,253.3,47
649,111,Dr. Ağakişi Hükümdar Öcalan,dr.agakisi.hukumdar.ocalan111@example.com,+905016668700,2022-01-03,2025-05-08,İzmir,Karşıyaka,Türkiye,113.66,28
650,45,Arş. Gör. Özakan İhsanoğlu,ars.gor.ozakan.ihsanoglu45@example.com,+905044997278,2023-03-27,2025-09-12,Trabzon,Ortahisar,Türkiye,227.16,40
651,475,Yasan Şehamet Fırat Akdeniz,yasan.sehamet.firat.akdeniz475@example.com,+905625436172,2025-05-01,2026-01-26,Bursa,Osmangazi,Türkiye,143.3,32
652,409,Giz Akça,giz.akca409@example.com,+905621286716,2024-10-16,2026-03-27,Şanlıurfa,Eyyübiye,Türkiye,293.11,26
653,208,Hürdoğan Sezgin,hurdogan.sezgin208@example.com,+905432225913,2023-08-16,2025-10-11,Şanlıurfa,Eyyübiye,Türkiye,379.92,69
654,320,Hanbiken Şemsinisa Sezgin,hanbiken.semsinisa.sezgin320@example.com,+905545279852,2021-12-20,2025-03-02,İstanbul,Şişli,Türkiye,159.78,37
655,189,Nili Aksu,nili.aksu189@example.com,+905465472269,2022-01-09,2025-11-29,Trabzon,Ortahisar,Türkiye,542.38,74
656,492,Temirhan Zorlu,temirhan.zorlu492@example.com,+905096056730,2024-10-05,2025-01-20,Diyarbakır,Kayapınar,Türkiye,359.19,73
657,179,Muvaffak Hayrioğlu,muvaffak.hayrioglu179@example.com,+905648909010,2025-09-05,2026-01-29,Samsun,İlkadım,Türkiye,316.17,62
658,264,Vacibe Alemdar Yılmaz,vacibe.alemdar.yilmaz264@example.com,+905344144885,2021-08-25,2025-12-01,Konya,Selçuklu,Türkiye,74.91,18
659,373,Nurser Tevetoğlu,nurser.tevetoglu373@example.com,+905489267389,2022-06-25,2026-02-08,Samsun,İlkadım,Türkiye,385.22,59
660,19,Dr. Nezize Feyzin Arsoy Ergül,dr.nezize.feyzin.arsoy.ergul19@example.com,+905331586923,2025-01-14,2025-08-27,Diyarbakır,Kayapınar,Türkiye,556.69,69
661,274,Oliver İhsanoğlu,oliver.ihsanoglu274@example.com,+905566668327,2025-03-03,2026-06-27,Ankara,Çankaya,Türkiye,211.27,30
662,321,Gürcüye Gülev Mansız Eraslan,gurcuye.gulev.mansiz.eraslan321@example.com,+905011939325,2025-10-14,2026-04-14,Bursa,Nilüfer,Türkiye,121.55,23
663,335,Alaz Eraslan Duran,alaz.eraslan.duran335@example.com,+905514846853,2023-08-17,2025-11-01,Van,İpekyolu,Türkiye,205.23,43
